Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,094,344",3.2
CENSUS,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),331,2.5
CENSUS,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,094,487",3.4
CENSUS,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"65,152,047",3.3
CENSUS,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,8.4
CENSUS,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"17,100",36.8
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,36.8
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,300",36.8
CENSUS,2016,YEAR,,STATE,IOWA,19,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"93,552",36.8
CENSUS,2016,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,447,921",6.3
CENSUS,2016,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),58,8.4
CENSUS,2016,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - PRODUCTION, MEASURED IN GALLONS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"575,569",6.5
CENSUS,2016,YEAR,,STATE,MAINE,23,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"19,110,908",8.1
CENSUS,2016,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - NUMBER OF TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"18,800",6.3
CENSUS,2016,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MAPLE SYRUP,"MAPLE SYRUP, ORGANIC - OPERATIONS WITH TAPS",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,8.4
